Artist1,Title1,Artist2,Title2,Artist Similarity,Title Similarity,Total Score,Match
Shane Barnard,Psalms,Shane Barnard,Psalms,1.0,1.0,1.0,True
Shane Barnard,Psalms,Shane Barnard and Shane Everett,Psalms,0.6153846153846154,1.0,0.8076923076923077,True
Shane Barnard,Psalms,Shakespears Sister,Hormonally Yours,0.4827586206896552,0.2857142857142857,0.3842364532019704,False
Shane Barnard,Psalms,Shakespears Sister,Hormonally Yours,0.4827586206896552,0.2857142857142857,0.3842364532019704,False
Shane Barnard,Psalms,Spineshank,The Height Of Callousness,0.36363636363636365,0.21428571428571427,0.288961038961039,False
Shane Barnard,Psalms,SpineShank,The Height Of Callousnes,0.36363636363636365,0.2222222222222222,0.29292929292929293,False
Shane Barnard,Psalms,Sex Pistols   Tapes),We've Cum For Your Children (Wanted:  The Goodman   Tapes),0.2222222222222222,0.08163265306122448,0.15192743764172334,False
Shane Barnard,Psalms,Sex Pistols,We've Cum For Your Children (Wanted:  The Goodman Tapes),0.18181818181818182,0.08163265306122448,0.13172541743970315,False
Shane Barnard,Psalms,Savage Garden,Savage Garden,0.5,0.2222222222222222,0.3611111111111111,False
Shane Barnard,Psalms,Savage Garden,Savage Garden,0.5,0.2222222222222222,0.3611111111111111,False
Shane Barnard,Psalms,Sheena Easton,What Comes Naturally,0.4166666666666667,0.25,0.33333333333333337,False
Shane Barnard,Psalms,Sheena Easton,What Comes Naturally,0.4166666666666667,0.25,0.33333333333333337,False
Shane Barnard,Psalms,Staind,Break The Cycle,0.4444444444444444,0.21052631578947367,0.32748538011695905,False
Shane Barnard,Psalms,Staind,Break The Cycle,0.4444444444444444,0.21052631578947367,0.32748538011695905,False
Shane Barnard,Psalms,Stained,Break the Cycle,0.5263157894736842,0.21052631578947367,0.3684210526315789,False
Shane Barnard,Psalms,Sonata Arctica,Silence(jpn),0.4,0.125,0.2625,False
Shane Barnard,Psalms,Sonata Arctica,Silence,0.4,0.3076923076923077,0.35384615384615387,False
Shane Barnard,Psalms,Shakira,Laundry Service,0.42105263157894735,0.1,0.26052631578947366,False
Shane Barnard,Psalms,Shakira,Laundry Service,0.42105263157894735,0.1,0.26052631578947366,False
Shane Barnard,Psalms,Shakira,Laundry Service,0.42105263157894735,0.1,0.26052631578947366,False
Shane Barnard,Psalms,Scorpions,Best Of Rockers 'N' Ballads,0.19047619047619047,0.2962962962962963,0.24338624338624337,False
Shane Barnard,Psalms,Scorpions,Best Of Rockers 'N' Ballads,0.19047619047619047,0.2962962962962963,0.24338624338624337,False
Shane Barnard,Psalms,Silicon Dream,Time Machine,0.16666666666666666,0.11764705882352941,0.14215686274509803,False
Shane Barnard,Psalms,Silicon Dream,Time Machine,0.16666666666666666,0.11764705882352941,0.14215686274509803,False
Shane Barnard,Psalms,Smashing Pumpkins,Live at the United Center - 11/29/00,0.2857142857142857,0.06060606060606061,0.17316017316017315,False
Shane Barnard,Psalms,Smashing Pumpkins,"Live @ United Center, Chicago (29.11.2000) CD1",0.2857142857142857,0.05,0.16785714285714284,False
Shane Barnard,Psalms,Santana,Supernatura,0.631578947368421,0.23529411764705882,0.43343653250773995,False
Shane Barnard,Psalms,Smashing Pumpkins,Mellon Collie And The Infinite Sadness (CD1),0.2857142857142857,0.14285714285714285,0.21428571428571427,False
Shane Barnard,Psalms,smashing pumpkins,Mellon collie & the infinite sadness,0.2857142857142857,0.16666666666666666,0.22619047619047616,False
